"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_0","swarm","4","replica1","errorPct",0.0
"cold_0","swarm","4","replica1","errorPct",0.0
"warm_1","swarm","4","replica1","errorPct",0.0
"cold_1","swarm","4","replica1","errorPct",0.0
"warm_2","swarm","4","replica1","errorPct",0.0
"cold_2","swarm","4","replica1","errorPct",0.0
"warm_0","swarm","5","replica1","errorPct",0.0
"cold_0","swarm","5","replica1","errorPct",0.0
"warm_1","swarm","5","replica1","errorPct",0.0
"cold_1","swarm","5","replica1","errorPct",0.0
"warm_2","swarm","5","replica1","errorPct",0.0
"cold_2","swarm","5","replica1","errorPct",0.0
"warm_0","swarm","6","replica1","errorPct",0.0
"cold_0","swarm","6","replica1","errorPct",0.0
"warm_1","swarm","6","replica1","errorPct",0.0
"cold_1","swarm","6","replica1","errorPct",0.0
"warm_2","swarm","6","replica1","errorPct",0.0
"cold_2","swarm","6","replica1","errorPct",0.0
"warm_0","k8s","1","replica10","resTime",11.0
"cold_0","k8s","1","replica10","resTime",7.0
"warm_1","k8s","1","replica10","resTime",10.0
"cold_1","k8s","1","replica10","resTime",9.0
"warm_2","k8s","1","replica10","resTime",12.0
"cold_2","k8s","1","replica10","resTime",9.0
"warm_0","k8s","2","replica10","resTime",11.0
"cold_0","k8s","2","replica10","resTime",8.0
"warm_1","k8s","2","replica10","resTime",12.0
"cold_1","k8s","2","replica10","resTime",7.0
"warm_2","k8s","2","replica10","resTime",12.0
"cold_2","k8s","2","replica10","resTime",8.0
"warm_0","k8s","3","replica10","resTime",10.0
"cold_0","k8s","3","replica10","resTime",7.0
"warm_1","k8s","3","replica10","resTime",10.0
"cold_1","k8s","3","replica10","resTime",9.0
"warm_2","k8s","3","replica10","resTime",11.0
"cold_2","k8s","3","replica10","resTime",7.0
"warm_0","k8s","4","replica10","resTime",11.0
"cold_0","k8s","4","replica10","resTime",8.0
"warm_1","k8s","4","replica10","resTime",12.0
"cold_1","k8s","4","replica10","resTime",8.0
"warm_2","k8s","4","replica10","resTime",11.0
"cold_2","k8s","4","replica10","resTime",6.0
"warm_0","k8s","5","replica10","resTime",11.0
"cold_0","k8s","5","replica10","resTime",6.0
"warm_1","k8s","5","replica10","resTime",11.0
"cold_1","k8s","5","replica10","resTime",9.0
"warm_2","k8s","5","replica10","resTime",11.0
"cold_2","k8s","5","replica10","resTime",6.0
"warm_0","k8s","6","replica10","resTime",11.0
"cold_0","k8s","6","replica10","resTime",7.0
"warm_1","k8s","6","replica10","resTime",10.0
"cold_1","k8s","6","replica10","resTime",9.0
"warm_2","k8s","6","replica10","resTime",11.0
"cold_2","k8s","6","replica10","resTime",8.0
"warm_0","swarm","1","replica10","resTime",9.0
"cold_0","swarm","1","replica10","resTime",12.0
"warm_1","swarm","1","replica10","resTime",12.0
"cold_1","swarm","1","replica10","resTime",8.0
"warm_2","swarm","1","replica10","resTime",8.0
"cold_2","swarm","1","replica10","resTime",13.0
"warm_0","swarm","2","replica10","resTime",11.0
"cold_0","swarm","2","replica10","resTime",12.0
"warm_1","swarm","2","replica10","resTime",11.0
