"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_0","k8s","2","replica10","throughput",324.65074859464573
"cold_0","k8s","2","replica10","throughput",330.07016749660477
"warm_1","k8s","2","replica10","throughput",342.75473028557997
"cold_1","k8s","2","replica10","throughput",291.69375406310945
"warm_2","k8s","2","replica10","throughput",300.2058672156459
"cold_2","k8s","2","replica10","throughput",296.4224006504726
"warm_0","k8s","3","replica10","throughput",330.81896551724134
"cold_0","k8s","3","replica10","throughput",336.0991068856237
"warm_1","k8s","3","replica10","throughput",346.3982421759012
"cold_1","k8s","3","replica10","throughput",293.8687087510706
"warm_2","k8s","3","replica10","throughput",338.1057268722467
"cold_2","k8s","3","replica10","throughput",288.60521498194055
"warm_0","k8s","4","replica10","throughput",303.97623638542916
"cold_0","k8s","4","replica10","throughput",287.26914553065745
"warm_1","k8s","4","replica10","throughput",362.5458387718317
"cold_1","k8s","4","replica10","throughput",334.633922423686
"warm_2","k8s","4","replica10","throughput",316.80425809254837
"cold_2","k8s","4","replica10","throughput",321.12769120643134
"warm_0","k8s","5","replica10","throughput",367.85016081225956
"cold_0","k8s","5","replica10","throughput",313.63587482525
"warm_1","k8s","5","replica10","throughput",322.83595306619435
"cold_1","k8s","5","replica10","throughput",297.6421353475554
"warm_2","k8s","5","replica10","throughput",312.35943022384066
"cold_2","k8s","5","replica10","throughput",304.72259951938145
"warm_0","k8s","6","replica10","throughput",324.41601779755285
"cold_0","k8s","6","replica10","throughput",292.35164394546916
"warm_1","k8s","6","replica10","throughput",302.72991488478306
"cold_1","k8s","6","replica10","throughput",319.8618118008335
"warm_2","k8s","6","replica10","throughput",349.6163989450971
"cold_2","k8s","6","replica10","throughput",334.74892395982783
"warm_0","swarm","1","replica10","throughput",289.5363843939243
"cold_0","swarm","1","replica10","throughput",339.36467302769375
"warm_1","swarm","1","replica10","throughput",329.39914163090134
"cold_1","swarm","1","replica10","throughput",299.8046875
"warm_2","swarm","1","replica10","throughput",309.93623804463334
"cold_2","swarm","1","replica10","throughput",319.28403306147027
"warm_0","swarm","2","replica10","throughput",344.3126143675108
"cold_0","swarm","2","replica10","throughput",346.0078301103334
