"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
3,"warm",5833,0,0.0,3.0370306874678477,2.0,67.0,4.0,4.0,9.0,316.52919470371177,1.4609691859147984,103.55203147045256,60.585666173757325
3,"cold",5833,0,0.0,4.033259043373895,2.0,4880.0,4.0,4.0,9.0,242.00307015724184,63.921094335545995,79.17092627214454,46.32090014728457
4,"warm",5833,0,0.0,3.0286302074404263,2.0,68.0,4.0,4.0,7.0,318.9348788889497,1.280741246502739,104.3390472927716,61.04612916233801
4,"cold",5833,0,0.0,3.718155323161317,2.0,73.0,5.0,5.0,10.0,260.7043890229731,1.7192650513369059,85.28903351825781,49.900449461428444
4,"warm",5833,0,0.0,3.4407680438882124,2.0,67.0,4.0,5.0,8.0,280.1498487104366,1.4071506441687995,91.65058527148071,53.622431979732
4,"cold",5833,0,0.0,4.575175724327115,2.0,5726.0,5.0,6.0,12.0,213.86668622130966,74.95027305012907,69.96615223060424,40.935420409547554
4,"warm",5833,0,0.0,3.6516372364135035,2.0,70.0,5.0,6.0,11.0,264.6431650106619,2.0733351388877823,86.57759792829273,50.65435580282201
4,"cold",5833,0,0.0,3.3504200240013717,2.0,77.0,4.0,5.0,9.0,283.65104065356934,1.580365502630166,92.79599474506419,54.292582000097255
5,"warm",5833,0,0.0,3.1309789130807557,2.0,81.0,4.0,4.0,7.0,300.020574015019,1.377977640721197,98.15126200686657,57.42581299506224
5,"cold",5833,0,0.0,3.138865078004459,2.0,81.0,4.0,5.0,8.0,308.2329317269076,1.528283826785925,100.837922000502,58.997709588353416
5,"warm",5833,0,0.0,3.2334990570889803,2.0,803.0,4.0,4.0,7.0,298.760499897562,10.558771231140707,97.7390307282063,57.18462693351772
5,"cold",5833,0,0.0,4.716783816218049,2.0,3943.0,4.0,5.0,7.0,204.37265687957677,71.88416384817283,66.86019536587716,39.118203855856486
5,"warm",5833,0,0.0,3.029658837647885,2.0,418.0,4.0,4.0,7.0,317.44217687074826,5.587283919910934,103.85071215986395,60.760416666666664
5,"cold",5833,0,0.0,3.2019543973941276,2.0,94.0,4.0,4.0,7.0,297.26837223524615,1.5803848288030096,97.25088349492916,56.899024373152585
6,"warm",5833,0,0.0,3.337562146408368,2.0,348.0,4.0,5.0,9.0,290.24232472508334,4.772397561664141,94.95232303017863,55.55419496691048
6,"cold",5833,0,0.0,3.086919252528712,2.0,70.0,4.0,4.0,7.0,314.58310861827204,1.297944186635164,102.91537244836047,60.21317313396612
6,"warm",5833,0,0.0,3.221841248071309,2.0,65.0,4.0,4.0,9.0,300.6236149049116,1.5494222907306396,98.34854589174356,57.541238790393244
6,"cold",5833,0,0.0,3.7977027258700544,2.0,3495.0,4.0,5.0,7.0,256.32800140622254,45.734996057790646,83.8573051475435,49.062781519159785
6,"warm",5833,0,0.0,3.124635693468194,2.0,67.0,4.0,4.0,7.0,307.9075168918919,1.391503086098941,100.73146304568729,58.935423155088685
6,"cold",5833,0,0.0,3.3036173495628343,2.0,77.0,4.0,5.0,8.0,292.35164394546916,1.501559184727921,95.64238351731655,55.95793184893744
